Point ID,H_lower,H_upper,Points_0,Points_1,Points_2,Points_Magnitude,arc_length,b,v1_lower,v1_upper,v2_lower,v2_upper,vtkValidPointMask
812,0.75,1.5,8.12,5,0,9.53595,8.12,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
813,0.75,1.5,8.13,5,0,9.54447,8.13,0,0.00000000,0.00000000,0.000000000,0.000000000,1
814,0.75,1.5,8.14,5,0,9.55299,8.14,0,0.000000000,0.000000000,0.000000000,0.000000000,1
815,0.75,1.5,8.15,5,0,9.56151,8.15,0,0.000000000,0.000000000,0.000000000,0.000000000,1
816,0.75,1.5,8.16,5,0,9.57004,8.16,0,0.000000000,0.000000000,0.000000000,0.000000000,1
817,0.75,1.5,8.17,5,0,9.57856,8.17,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
818,0.75,1.5,8.18,5,0,9.5871,8.18,0,0.0000000,0.0000000,-0.000000000,-0.000000000,1
819,0.75,1.5,8.19,5,0,9.59563,8.19,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
820,0.75,1.5,8.2,5,0,9.60417,8.2,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
821,0.75,1.5,8.21,5,0,9.61271,8.21,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
822,0.75,1.5,8.22,5,0,9.62125,8.22,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
823,0.75,1.5,8.23,5,0,9.62979,8.23,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
824,0.75,1.5,8.24,5,0,9.63834,8.24,0,0.00000000,0.00000000,-0.000000000,-0.000000000,1
825,0.75,1.5,8.25,5,0,9.64689,8.25,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
826,0.75,1.5,8.26,5,0,9.65544,8.26,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
827,0.75,1.5,8.27,5,0,9.664,8.27,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
828,0.75,1.5,8.28,5,0,9.67256,8.28,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
829,0.75,1.5,8.29,5,0,9.68112,8.29,0,0.00000000,0.00000000,-0.000000000,-0.000000000,1
830,0.75,1.5,8.3,5,0,9.68969,8.3,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
831,0.75,1.5,8.31,5,0,9.69825,8.31,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
832,0.75,1.5,8.32,5,0,9.70682,8.32,0,-0.00000000,-0.00000000,-0.000000000,-0.000000000,1
833,0.75,1.5,8.33,5,0,9.71539,8.33,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
834,0.75,1.5,8.34,5,0,9.72397,8.34,0,-0.00000000,-0.00000000,-0.000000000,-0.000000000,1
835,0.75,1.5,8.35,5,0,9.73255,8.35,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
836,0.75,1.5,8.36,5,0,9.74113,8.36,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
837,0.75,1.5,8.37,5,0,9.74971,8.37,0,0.000000000,0.000000000,0.000000000,0.000000000,1
838,0.75,1.5,8.38,5,0,9.7583,8.38,0,0.000000000,0.000000000,0.000000000,0.000000000,1
839,0.75,1.5,8.39,5,0,9.76689,8.39,0,0.000000000,0.000000000,0.000000000,0.000000000,1
840,0.75,1.5,8.4,5,0,9.77548,8.4,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
841,0.75,1.5,8.41,5,0,9.78407,8.41,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
842,0.75,1.5,8.42,5,0,9.79267,8.42,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
843,0.75,1.5,8.43,5,0,9.80127,8.43,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
844,0.75,1.5,8.44,5,0,9.80987,8.44,0,-0.00000000,-0.00000000,-0.000000000,-0.000000000,1
845,0.75,1.5,8.45,5,0,9.81848,8.45,0,-0.000000000,-0.000000000,-0.00000000,-0.00000000,1
846,0.75,1.5,8.46,5,0,9.82709,8.46,0,-0.000000000,-0.000000000,-0.00000000,-0.00000000,1
847,0.75,1.5,8.47,5,0,9.8357,8.47,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
848,0.75,1.5,8.48,5,0,9.84431,8.48,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
849,0.75,1.5,8.49,5,0,9.85292,8.49,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
850,0.75,1.5,8.5,5,0,9.86154,8.5,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
851,0.75,1.5,8.51,5,0,9.87016,8.51,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
852,0.75,1.5,8.52,5,0,9.87879,8.52,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
853,0.75,1.5,8.53,5,0,9.88741,8.53,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
