Point ID,H_lower,H_upper,Points_0,Points_1,Points_2,Points_Magnitude,arc_length,b,v1_lower,v1_upper,v2_lower,v2_upper,vtkValidPointMask
631,0.75,1.5,6.31,6.31,0,8.92369,8.92369,0,0.00000000,0.00000000,0.00000000,0.00000000,1
632,0.75,1.5,6.32,6.32,0,8.93783,8.93783,0,0.000000000,0.000000000,0.000000000,0.000000000,1
633,0.75,1.5,6.33,6.33,0,8.95197,8.95197,0,0.000000000,0.000000000,0.000000000,0.000000000,1
634,0.75,1.5,6.34,6.34,0,8.96611,8.96611,0,0.000000000,0.000000000,0.000000000,0.000000000,1
635,0.75,1.5,6.35,6.35,0,8.98026,8.98026,0,0.000000000,0.000000000,0.000000000,0.000000000,1
636,0.75,1.5,6.36,6.36,0,8.9944,8.9944,0,0.000000000,0.000000000,0.000000000,0.000000000,1
637,0.75,1.5,6.37,6.37,0,9.00854,9.00854,0,0.000000000,0.000000000,0.000000000,0.000000000,1
638,0.75,1.5,6.38,6.38,0,9.02268,9.02268,0,0.000000000,0.000000000,0.000000000,0.000000000,1
639,0.75,1.5,6.39,6.39,0,9.03682,9.03682,0,-0.000000000,-0.000000000,0.000000000,0.000000000,1
640,0.75,1.5,6.4,6.4,0,9.05097,9.05097,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
641,0.75,1.5,6.41,6.41,0,9.06511,9.06511,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
642,0.75,1.5,6.42,6.42,0,9.07925,9.07925,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
643,0.75,1.5,6.43,6.43,0,9.09339,9.09339,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
644,0.75,1.5,6.44,6.44,0,9.10754,9.10754,0,-0.000000000,-0.000000000,0.000000000,0.000000000,1
645,0.75,1.5,6.45,6.45,0,9.12168,9.12168,0,0.0000000,0.0000000,0.000000000,0.000000000,1
646,0.75,1.5,6.46,6.46,0,9.13582,9.13582,0,0.000000000,0.000000000,0.000000000,0.000000000,1
647,0.75,1.5,6.47,6.47,0,9.14996,9.14996,0,0.000000000,0.000000000,0.000000000,0.000000000,1
648,0.75,1.5,6.48,6.48,0,9.1641,9.1641,0,0.000000000,0.000000000,0.000000000,0.000000000,1
649,0.75,1.5,6.49,6.49,0,9.17825,9.17825,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
650,0.75,1.5,6.5,6.5,0,9.19239,9.19239,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
651,0.75,1.5,6.51,6.51,0,9.20653,9.20653,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
652,0.75,1.5,6.52,6.52,0,9.22067,9.22067,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
653,0.75,1.5,6.53,6.53,0,9.23481,9.23481,0,-0.00000000,-0.00000000,-0.000000000,-0.000000000,1
654,0.75,1.5,6.54,6.54,0,9.24896,9.24896,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
655,0.75,1.5,6.55,6.55,0,9.2631,9.2631,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
656,0.75,1.5,6.56,6.56,0,9.27724,9.27724,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
657,0.75,1.5,6.57,6.57,0,9.29138,9.29138,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
658,0.75,1.5,6.58,6.58,0,9.30552,9.30552,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
659,0.75,1.5,6.59,6.59,0,9.31967,9.31967,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
660,0.75,1.5,6.6,6.6,0,9.33381,9.33381,0,-0.00000000,-0.00000000,-0.000000000,-0.000000000,1
661,0.75,1.5,6.61,6.61,0,9.34795,9.34795,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
662,0.75,1.5,6.62,6.62,0,9.36209,9.36209,0,-0.00000000,-0.00000000,-0.000000000,-0.000000000,1
663,0.75,1.5,6.63,6.63,0,9.37624,9.37624,0,0.00000000,0.00000000,0.00000000,0.00000000,1
664,0.75,1.5,6.64,6.64,0,9.39038,9.39038,0,0.000000000,0.000000000,0.00000000,0.00000000,1
665,0.75,1.5,6.65,6.65,0,9.40452,9.40452,0,0.000000000,0.000000000,0.000000000,0.000000000,1
666,0.75,1.5,6.66,6.66,0,9.41866,9.41866,0,0.000000000,0.000000000,0.000000000,0.000000000,1
667,0.75,1.5,6.67,6.67,0,9.4328,9.4328,0,0.000000000,0.000000000,0.000000000,0.000000000,1
668,0.75,1.5,6.68,6.68,0,9.44695,9.44695,0,0.000000000,0.000000000,0.000000000,0.000000000,1
669,0.75,1.5,6.69,6.69,0,9.46109,9.46109,0,0.00000000,0.00000000,0.000000000,0.000000000,1
670,0.75,1.5,6.7,6.7,0,9.47523,9.47523,0,-0.000000000,-0.000000000,0.000000000,0.000000000,1
671,0.75,1.5,6.71,6.71,0,9.48937,9.48937,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
672,0.75,1.5,6.72,6.72,0,9.50352,9.50352,0,-0.000000000,-0.000000000,-0.0000000,-0.0000000,1
673,0.75,1.5,6.73,6.73,0,9.51766,9.51766,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
674,0.75,1.5,6.74,6.74,0,9.5318,9.5318,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
675,0.75,1.5,6.75,6.75,0,9.54594,9.54594,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
676,0.75,1.5,6.76,6.76,0,9.56008,9.56008,0,0.000000000,0.000000000,-0.00000000,-0.00000000,1
677,0.75,1.5,6.77,6.77,0,9.57423,9.57423,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
678,0.75,1.5,6.78,6.78,0,9.58837,9.58837,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
679,0.75,1.5,6.79,6.79,0,9.60251,9.60251,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
680,0.75,1.5,6.8,6.8,0,9.61665,9.61665,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
681,0.75,1.5,6.81,6.81,0,9.63079,9.63079,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
682,0.75,1.5,6.82,6.82,0,9.64494,9.64494,0,0.00000000,0.00000000,-0.000000000,-0.000000000,1
683,0.75,1.5,6.83,6.83,0,9.65908,9.65908,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
684,0.75,1.5,6.84,6.84,0,9.67322,9.67322,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
685,0.75,1.5,6.85,6.85,0,9.68736,9.68736,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
686,0.75,1.5,6.86,6.86,0,9.70151,9.70151,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
687,0.75,1.5,6.87,6.87,0,9.71565,9.71565,0,-0.00000000,-0.00000000,-0.000000000,-0.000000000,1
688,0.75,1.5,6.88,6.88,0,9.72979,9.72979,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
689,0.75,1.5,6.89,6.89,0,9.74393,9.74393,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
690,0.75,1.5,6.9,6.9,0,9.75807,9.75807,0,-0.000000000,-0.000000000,0.000000000,0.000000000,1
691,0.75,1.5,6.91,6.91,0,9.77222,9.77222,0,-0.000000000,-0.000000000,0.000000000,0.000000000,1
692,0.75,1.5,6.92,6.92,0,9.78636,9.78636,0,-0.000000000,-0.000000000,0.000000000,0.000000000,1
693,0.75,1.5,6.93,6.93,0,9.8005,9.8005,0,-0.000000000,-0.000000000,0.000000000,0.000000000,1
694,0.75,1.5,6.94,6.94,0,9.81464,9.81464,0,-0.000000000,-0.000000000,0.000000000,0.000000000,1
695,0.75,1.5,6.95,6.95,0,9.82878,9.82878,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
696,0.75,1.5,6.96,6.96,0,9.84293,9.84293,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
697,0.75,1.5,6.97,6.97,0,9.85707,9.85707,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
698,0.75,1.5,6.98,6.98,0,9.87121,9.87121,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
699,0.75,1.5,6.99,6.99,0,9.88535,9.88535,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
700,0.75,1.5,7,7,0,9.8995,9.8995,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
701,0.75,1.5,7.01,7.01,0,9.91364,9.91364,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
702,0.75,1.5,7.02,7.02,0,9.92778,9.92778,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
703,0.75,1.5,7.03,7.03,0,9.94192,9.94192,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
704,0.75,1.5,7.04,7.04,0,9.95606,9.95606,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
705,0.75,1.5,7.05,7.05,0,9.97021,9.97021,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
706,0.75,1.5,7.06,7.06,0,9.98435,9.98435,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
707,0.75,1.5,7.07,7.07,0,9.99849,9.99849,0,-0.000000000,-0.000000000,0.000000000,0.000000000,1
708,0.75,1.5,7.08,7.08,0,10.0126,10.0126,0,-0.000000000,-0.000000000,0.000000000,0.000000000,1
709,0.75,1.5,7.09,7.09,0,10.0268,10.0268,0,-0.000000000,-0.000000000,0.000000000,0.000000000,1
710,0.75,1.5,7.1,7.1,0,10.0409,10.0409,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
711,0.75,1.5,7.11,7.11,0,10.0551,10.0551,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
712,0.75,1.5,7.12,7.12,0,10.0692,10.0692,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
713,0.75,1.5,7.13,7.13,0,10.0833,10.0833,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
714,0.75,1.5,7.14,7.14,0,10.0975,10.0975,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
715,0.75,1.5,7.15,7.15,0,10.1116,10.1116,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
